altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0,10,5,Chicago,123,True,K3_FULL,13084,2019-05-16 13:57:27,41.922695,,-87.697153,60647,California Ave & Milwaukee Ave,,California Ave & Milwaukee Ave,IN_SERVICE,1,In Service,False,15
0,12,3,Chicago,124,True,K3_FULL,13089,2019-05-16 13:55:19,41.855048,,-87.675726,60608,Damen Ave & Cullerton St,,Damen Ave & Cullerton St,IN_SERVICE,1,In Service,False,15
0,22,1,Chicago,125,True,K3_FULL,15533,2019-05-16 13:53:58,41.890173,,-87.626185,60611,Rush St & Hubbard St,,Rush St & Hubbard St,IN_SERVICE,1,In Service,False,23
0,0,15,Chicago,126,True,K3_FULL,13128,2019-05-16 13:56:12,41.911974,,-87.631942,60614,Clark St & North Ave,,Clark St & North Ave,IN_SERVICE,1,In Service,False,15
0,12,3,Chicago,127,True,K3_FULL,13131,2019-05-16 13:55:10,41.925905,,-87.64926,60614,Lincoln Ave & Fullerton Ave,,Lincoln Ave & Fullerton Ave,IN_SERVICE,1,In Service,False,15
0,4,15,Chicago,128,True,K3_FULL,13132,2019-05-16 13:55:12,41.895769,,-87.67722,60622,Damen Ave & Chicago Ave,,Damen Ave & Chicago Ave,IN_SERVICE,1,In Service,False,19
0,2,13,Chicago,129,True,K3_FULL,13135,2019-05-16 13:55:06,41.857556,,-87.661535,60608,Blue Island Ave & 18th St,,Blue Island Ave & 18th St,IN_SERVICE,1,In Service,False,15
0,1,18,Chicago,130,True,K3_FULL,13136,2019-05-16 13:55:30,41.903266,,-87.678435,60622,Damen Ave & Division St,,Damen Ave & Division St,IN_SERVICE,1,In Service,False,19
0,3,12,Chicago,131,True,K3_FULL,13140,2019-05-16 13:57:23,41.939365,,-87.668385,60657,Lincoln Ave & Belmont Ave,,Lincoln Ave & Belmont Ave,IN_SERVICE,1,In Service,False,15
0,9,6,Chicago,132,True,K3_FULL,13149,2019-05-16 13:57:10,41.849237,,-87.631715,60616,Wentworth Ave & 24th St,,Wentworth Ave & 24th St,IN_SERVICE,1,In Service,False,15
0,25,5,Chicago,133,True,K3_FULL,15532,2019-05-16 13:53:51,41.88917683258,,-87.6385057718,60654,Kingsbury St & Kinzie St,,Kingsbury St & Kinzie St,IN_SERVICE,1,In Service,False,31
0,5,13,Chicago,134,True,K3_FULL,13158,2019-05-16 13:58:02,41.877749,,-87.649633,60607,Peoria St & Jackson Blvd,,Peoria St & Jackson Blvd,IN_SERVICE,1,In Service,False,19
0,7,4,Chicago,135,True,K3_FULL,13162,2019-05-16 13:57:14,41.85378,,-87.64665,60608,Halsted St & 21st St,,Halsted St & 21st St,IN_SERVICE,1,In Service,False,11
0,2,13,Chicago,136,True,K3_FULL,13165,2019-05-16 13:56:24,41.865054,,-87.656959,60608,Racine Ave & 13th St,,Racine Ave & 13th St,IN_SERVICE,1,In Service,False,15
